Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Group,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue
SRR31443337,RNA-Seq,280,7354175147,PRJNA1189476,SAMN44971368,2280017867,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX26812176,uncalculated,uncalculated,missing,WJR,Illumina NovaSeq 6000,GSM8647287,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:01:00Z,1,GSM8647287,lung,SRP546985,lung
SRR31443338,RNA-Seq,280,6831443732,PRJNA1189476,SAMN44971369,2118175543,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX26812175,uncalculated,uncalculated,missing,WJR,Illumina NovaSeq 6000,GSM8647286,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:01:00Z,1,GSM8647286,lung,SRP546985,lung
SRR31443339,RNA-Seq,280,6625700521,PRJNA1189476,SAMN44971370,2060873609,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX26812174,uncalculated,uncalculated,missing,WJR,Illumina NovaSeq 6000,GSM8647285,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:01:00Z,1,GSM8647285,lung,SRP546985,lung
SRR31443340,RNA-Seq,281,6749574955,PRJNA1189476,SAMN44971371,2111331221,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX26812173,uncalculated,uncalculated,missing,WJR,Illumina NovaSeq 6000,GSM8647284,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:01:00Z,1,GSM8647284,lung,SRP546985,lung
SRR31443341,RNA-Seq,281,5277230894,PRJNA1189476,SAMN44971348,1712121595,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX26812172,uncalculated,uncalculated,missing,YWA,Illumina NovaSeq 6000,GSM8647307,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:01:00Z,1,GSM8647307,lung,SRP546985,lung
SRR31443342,RNA-Seq,281,5881439997,PRJNA1189476,SAMN44971349,1900993329,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX26812171,uncalculated,uncalculated,missing,YWA,Illumina NovaSeq 6000,GSM8647306,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:01:00Z,1,GSM8647306,lung,SRP546985,lung
SRR31443343,RNA-Seq,282,5643792906,PRJNA1189476,SAMN44971350,1829017231,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX26812170,uncalculated,uncalculated,missing,YWA,Illumina NovaSeq 6000,GSM8647305,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:01:00Z,1,GSM8647305,lung,SRP546985,lung
SRR31443344,RNA-Seq,281,5337561956,PRJNA1189476,SAMN44971351,1724072958,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX26812169,uncalculated,uncalculated,missing,YWA,Illumina NovaSeq 6000,GSM8647304,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:01:00Z,1,GSM8647304,lung,SRP546985,lung
SRR31443345,RNA-Seq,281,5853684754,PRJNA1189476,SAMN44971352,1904333755,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX26812168,uncalculated,uncalculated,missing,YWA,Illumina NovaSeq 6000,GSM8647303,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:01:00Z,1,GSM8647303,lung,SRP546985,lung
SRR31443346,RNA-Seq,281,6034168095,PRJNA1189476,SAMN44971353,1941077393,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX26812167,uncalculated,uncalculated,missing,YWA,Illumina NovaSeq 6000,GSM8647302,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:01:00Z,1,GSM8647302,lung,SRP546985,lung
SRR31443347,RNA-Seq,280,6929196698,PRJNA1189476,SAMN44971354,2174016328,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX26812166,uncalculated,uncalculated,missing,YWA,Illumina NovaSeq 6000,GSM8647301,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:04:00Z,1,GSM8647301,lung,SRP546985,lung
SRR31443348,RNA-Seq,280,6507418675,PRJNA1189476,SAMN44971355,2020351780,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX26812165,uncalculated,uncalculated,missing,YWA,Illumina NovaSeq 6000,GSM8647300,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:01:00Z,1,GSM8647300,lung,SRP546985,lung
SRR31443349,RNA-Seq,280,6434037289,PRJNA1189476,SAMN44971380,1999128303,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX26812164,uncalculated,uncalculated,missing,JRX,Illumina NovaSeq 6000,GSM8647275,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:01:00Z,1,GSM8647275,lung,SRP546985,lung
SRR31443350,RNA-Seq,280,6839669902,PRJNA1189476,SAMN44971381,2118797054,"TANGDU HOSPITAL, AIR FORCE MEDICAL UNIVERSITY",missing,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX26812163,uncalculated,uncalculated,missing,JRX,Illumina NovaSeq 6000,GSM8647274,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2024-11-26T00:00:00Z,2024-11-22T10:01:00Z,1,GSM8647274,lung,SRP546985,lung
